"","purity"
"TCGA-AC-A8OS-01A",0.577172104371609
"TCGA-AC-A23H-01A",0.687246305296809
"TCGA-EW-A1P4-01A",0.534937969472169
"TCGA-E2-A1IG-01A",0.750272060573964
"TCGA-EW-A1P0-01A",0.810843825562428
"TCGA-GM-A3XG-01A",0.399064043715885
"TCGA-A2-A25B-01A",0.767284614141513
"TCGA-AC-A3QQ-01A",0.712837722027099
"TCGA-AR-A5QM-01A",0.558302463620648
"TCGA-BH-A0BS-01A",0.734650068499883
"TCGA-D8-A3Z6-01A",0.649623212673843
"TCGA-EW-A1P5-01A",0.698946789318936
"TCGA-AO-A1KT-01A",0.685647668031216
"TCGA-E9-A22D-01A",0.537211123420727
"TCGA-AR-A1AS-01A",0.76893570758411
"TCGA-E2-A1IE-01A",0.704722285327352
"TCGA-E2-A1AZ-01A",0.610375387415303
"TCGA-D8-A27N-01A",0.619148460182039
"TCGA-A2-A0CT-01A",0.86550772267422
"TCGA-B6-A0RE-01A",0.724794845596916
"TCGA-E9-A249-01A",0.724588672627111
"TCGA-A2-A25A-01A",0.497955282489753
"TCGA-E9-A22A-01A",0.4555453507364
"TCGA-BH-A0GZ-01A",0.713354241803353
"TCGA-BH-A1FD-01A",0.64143479609346
"TCGA-A1-A0SH-01A",0.531461066963798
"TCGA-AC-A3EH-01A",0.754910730108689
"TCGA-C8-A26W-01A",0.63912212113564
"TCGA-LL-A442-01A",0.731785742986281
"TCGA-BH-A0E0-01A",0.683827481711966
"TCGA-A8-A0AD-01A",0.712214271239042
"TCGA-GM-A2DI-01A",0.411455041821062
"TCGA-E9-A22H-01A",0.696283604152119
"TCGA-AR-A0TU-01A",0.678875478736739
"TCGA-LQ-A4E4-01A",0.741504055526337
"TCGA-PL-A8LY-01A",0.300618022422214
"TCGA-BH-A1FU-01A",0.460928415222928
"TCGA-B6-A3ZX-01A",0.370947555626158
"TCGA-A7-A5ZV-01A",0.769455579895317
"TCGA-A7-A4SD-01A",0.596611962683232
"TCGA-AO-A03L-01A",0.630189931735594
"TCGA-LL-A8F5-01A",0.641634212030519
"TCGA-AR-A0U2-01A",0.771541355918201
"TCGA-D8-A1XG-01A",0.732471963891927
"TCGA-A2-A4S0-01A",0.732816144167091
"TCGA-BH-A0H9-01A",0.704124311180617
"TCGA-A2-A3KD-01A",0.579703083495898
"TCGA-LD-A9QF-01A",0.392536507226459
"TCGA-D8-A1Y0-01A",0.587595043117602
"TCGA-AR-A252-01A",0.408216939690806
"TCGA-C8-A1HN-01A",0.793521091972954
"TCGA-E2-A1IN-01A",0.690017721602748
"TCGA-B6-A400-01A",0.582459582227656
"TCGA-GM-A2DB-01A",0.512048823669748
"TCGA-AC-A2FK-01A",0.298125091890785
"TCGA-EW-A1P6-01A",0.713817727371817
"TCGA-A2-A4S1-01A",0.564390368387604
"TCGA-5T-A9QA-01A",0.816282714179484
"TCGA-AC-A2QH-01A",0.803844483345652
"TCGA-AR-A2LK-01A",0.780091864491012
"TCGA-AR-A254-01A",0.590633446271164
"TCGA-A7-A3RF-01A",0.763180175932242
"TCGA-D8-A4Z1-01A",0.384529869204017
"TCGA-AN-A0XP-01A",0.676742026339539
"TCGA-C8-A26V-01A",0.704251727447376
"TCGA-B6-A1KC-01A",0.777497388246576
"TCGA-A7-A5ZW-01A",0.541441695657018
"TCGA-GI-A2C9-01A",0.704174330660176
"TCGA-BH-A1FB-01A",0.398733947920434
"TCGA-E9-A1NG-01A",0.464739529814848
"TCGA-E9-A1R3-01A",0.635023366898647
"TCGA-D8-A1JI-01A",0.808082924836714
"TCGA-GM-A2DO-01A",0.424158189308558
"TCGA-AR-A1AI-01A",0.596459571435804
"TCGA-C8-A273-01A",0.712862352255075
"TCGA-AR-A0U3-01A",0.81658046845066
"TCGA-E9-A1NE-01A",0.411616982132468
"TCGA-E9-A1R5-01A",0.670672769113004
"TCGA-E9-A3Q9-01A",0.699769063951723
"TCGA-BH-A0HX-01A",0.709097312878821
"TCGA-AC-A3W7-01A",0.637467780802546
"TCGA-AR-A1AU-01A",0.599939330885255
"TCGA-AC-A5XU-01A",0.768792758768581
"TCGA-BH-A1FM-01A",0.763951943631552
"TCGA-AQ-A1H2-01A",0.834445191170106
"TCGA-BH-A0DQ-01A",0.664222385778752
"TCGA-E2-A106-01A",0.753626225644849
"TCGA-A2-A25F-01A",0.32742350401777
"TCGA-A7-A26F-01A",0.538993201888953
"TCGA-A2-A3XT-01A",0.590652143694667
"TCGA-A2-A0YG-01A",0.722419312871823
"TCGA-B6-A0WZ-01A",0.665152883992682
"TCGA-E2-A1IJ-01A",0.531195159387718
"TCGA-AC-A23G-01A",0.509380249226625
"TCGA-GM-A2DA-01A",0.59673329452081
"TCGA-B6-A0X1-01A",0.660107444969828
"TCGA-AO-A12E-01A",0.618055162033859
"TCGA-AO-A12G-01A",0.706788164978393
"TCGA-BH-A1EY-01A",0.540432068714025
"TCGA-E2-A572-01A",0.725749588094083
"TCGA-AR-A0TV-01A",0.744329648983872
"TCGA-A7-A13G-01B",0.705538288866215
"TCGA-E9-A1N9-01A",0.668298645352574
"TCGA-BH-A0H3-01A",0.614459721467551
"TCGA-E9-A3QA-01A",0.437223901112831
"TCGA-E2-A1LG-01A",0.78535065115541
"TCGA-S3-A6ZF-01A",0.653100006728831
"TCGA-AO-A0JG-01A",0.623830597875772
"TCGA-GM-A2DL-01A",0.559330886661144
